,Name,Description,date_guess,type_guess
1436,"Oct-Versailles, MO","Fiddle contest at the Methodist Church, located just off the north side of the square.<br>No date set yet for 2023. <br>https://www.facebook.com/profile.php?id=100084799785907<br><br>JS 10/5/22",2023,annual event
1437,"Oct-Burlington, WV","Apple Harvest Festival<br>No date set yet for 2023.                                    Fiddle, Banjo, Mandolin Contest on Sunday<br><br>https://bumfs.org/apple-harvest-festival/<br><br>JS 10/20/22",Sunday,weekly gathering
1438,"Oct- Guthrie, OK",Join the FUN at the 25th Annual<br>Oklahoma’s International Bluegrass Festival <br>No date set yet for 2023 26th Annual<br>Many of us old timers (I mean those of us who play old time music) are there.<br><br>http://www.oibf.com/<br>Updated JS 10/20/2022,25th Annual,annual event
1439,"Oct-Brasstown, NC","Folk School Fall Festival                                            <br>No date set yet for 2023.                        Brasstown, NC.                                                  Jams, Concerts, Dances, Art, Craft, Demonstrations, Food                                                Contacts:      828-837-2775                                        Info:     https://www.folkschool.org/event.php?event_type_id=6                                      Updated JS 10/5/22",2023,annual event
1440,"Oct - Nauvoo, AL","Old-Time & Gee's Bend<br>No date set yet for 2023.<br>Navoo, AL. <br>Quilters, cooks, and blacksmiths pursue their work in an encouraging atmosphere while music students fully immerse themselves in old-time classes, their days and nights filled with instruction from master musicians, jam sessions, and an instructor concert. Afternoon mini classes give all participants a chance to take part in learning something totally new. With more than 1,140 acres of forest consisting of breathtaking canyons, waterfalls, miles of hiking trails, and glistening streams, there’s plenty of exploring to do during your free time. Take a hike, go canoeing, or pick a porch and rocking chair to relax.<br><br>https://campmcdowell.org/dates-rates<br><br>JS 10/20/22",nights,annual event
1442,"Oct-Viroqua, WI","WISCONSIN-NO-BLUEGRASS-ONLY-OLD-TIME-MUSIC ASSOCIATION Festival. WNBOOTMA        No date set yet for 2023.                              Potluck and square dance Friday night starting around 6:00. We will be hanging out Saturday afternoon, playing tunes, maybe pressing some cider or harvesting sorghum, possibly a music workshop or two. Saturday evening we are bringing back the chili cook off by popular demand, followed by the fiddle contest and the famous duet contest, with more dancing to follow. If you are bringing chili, please try and be here by about 5:00. Camping is available and we now have a well on site. We will do as much as we can outside, weather permitting.<br> Fun, fun, fun<br>                     Time for the annual WISCONSIN-NO-BLUEGRASS-ONLY-OLD-TIME-MUSIC ASSOCIATION camping/old-time extravaganza at Downs Home Farms. Bring a tent (or don't). Bring your instruments (or don't). Square dancing, contests, and fun, fun, fun! BYO-whatever you need for your own comfort.              More info here: https://www.facebook.com/events/1189634154878832                                                                 JS 9/28/22",Saturday,annual event
1443,"Oct-Berea, KY","Celebration of Traditional Music                              No date set yet for 2023.<br>  The CTM features:<br>Old time string band music<br>Blues<br>Traditional gospel singing<br>Ballads<br>Acoustic instruments.<br>All are featured in a family-friendly atmosphere. Berea College’s students, faculty, and staff welcome the public to enjoy this festival of roots music and dancing on our campus. Bring your instruments, feet, and voices. Enjoy the many jam sessions and opportunities to learn how to sing, play, and dance to this music.                          CONTACT<br>101 Chestnut Street, 40403<br>859-985-3140<br>https://www.berea.edu/appalachian-center/annual-celebration-traditional-music/<br>Updated JS 10/20/22",Celebration of Traditional Music                              No date set yet for 2023,annual event
1444,"Oct-Murfreesboro, TN","Uncle Dave Macon Days Music and Dance            <br>No date set yet for 2023.<br>Hop Springs<br>6790 John Bragg Hwy, Murfreesboro, TN <br><br><br><br>Uncle Dave Macon Days, a roots rendezvous, honors traditional American music and the career of the first superstar of the Grand Ole Opry and Country Music Hall of Famer, Uncle Dave Macon. The festival started with small beginnings that attracted only a few old-time music enthusiasts on the lawn of the Courthouse in 1978. With the festival’s national competitions and stellar performance line-ups, the it has grown into a major event with the best in authentic old-time music and dance with participants coming from around the world.<br><br><br>Info: https://uncledavemacondays.com/<br>Updated JS 10/20/22",2023,annual event
1445,"October- Albuquerque, NM",Albuquerque Folk Fest                                                  No date set yet for 2023.                                           The Albuquerque Folk Festival is moving to the National Hispanic Cultural Center.<br>http://www.abqfolkfest.org/index.shtml                  Updated JS 10/20/22,2023,annual event
1446,"Oct - Clarksville, TN","The 55th Annual State Of Tennessee Old Time Fiddlers Convention!                                              No date set yet for 2023.                                                        Athens State Univesity,  Clarksville, TN<br> Athens State University | 300 N. Beaty Street | Athens, AL 35611<br>https://tnfiddlers.com/<br>https://www.tvotfc.org/?fbclid=IwAR3nUUdtwyCHE7sLTiNLyFqlYR3_avHpLeejqCvKRhzXp4XmFUrmlEDB_tQ<br>Updated JS 10/20/22",2023,annual event
1447,"Oct - Eagan, MN","Fiddling on the Farm Fiddle Contest<br>No date set yet for 2023.                                            Eagan, MN. <br>hosted by Friends of the Farm - Holz Farm in Eagan, Minnesota<br>Time: 1 PM<br>Location: Holz Farm<br>4670 Manor Dr, Eagan, MN 55123<br>For more information, contact Sigrid Lindholm, lindholm.sigrid@gmail.com. For contest rules and to register online , click HERE:<br>https://docs.google.com/forms/d/e/1FAIpQLSeMT7TKAyyjkvcIV3Uq7VWjbIFfjGD6h-Iu0y8ZWUfxBju6zw/viewform?<br><br>JS 10/5/22",2023,annual event
1448,"Oct - Mountain View, AR","Stringband Weekend<br>No date set yet for 2023.<br>Please call ahead for verification: 870-269-3851<br>Music goes on all day, but the old time jams are around the front of the courthouse, Mountain View Music, and The Wildflower Inn on the Courthouse Square.<br><br>https://www.arkansas.com/mountain-view/events/stringband-music-arts-festival<br><br>Updated JS 10/20/2022",Weekend,weekly gathering
1449,"Oct- New South Wales, Australia","The Annual Katoomba Festival.  <br> No date set yet for 2023.                                                   New South Wales, Australia.                         <br>The Blue Mountains Music Festival of Folk Roots and Blues, takes place in Katoomba in March each year. The festival site is home to 8 undercover performance venues on which over 100 performances occur.<br>Details here:        https://www.bmff.org.au/             JS 10/20/22          ",March,annual event
1450,"Oct - Sudbury, MA","The Red Horse Oldtime Fiddlers Gathering         No date set yet for 2023.                                            Sudbury MA                                                                  Horse Oldtime Fiddlers Gathering<br>1pm to dark. All acoustic players welcome<br>Oldtime fiddle music jam day! Hosted by Red Horse Oldtime. There will be public and semi-private places to jam outdoors. Oldtime musicians can form jams anywhere on the grounds of the Inn, gristmill, chapel, schoolhouse, garden, ponds.<br>Longfellow's Wayside Inn<br>72 Wayside Inn Rd, Sudbury, Massachusetts 01776<br><br>https://www.facebook.com/events/337989048065936?ref=newsfeed<br><br>JS 10/20/22",1pm to dark,annual event
